Date,Open,High,Low,Close,Adj Close,Volume
2012-06-18,65.750000,65.750000,65.750000,65.750000,65.750000,0
2012-06-19,66.879997,66.879997,66.879997,66.879997,66.879997,0
2012-06-20,67.120003,67.120003,67.120003,67.120003,67.120003,0
2012-06-21,66.970001,66.970001,66.970001,66.970001,66.970001,0
2012-06-22,66.730003,66.730003,66.730003,66.730003,66.730003,0
2012-06-25,65.989998,65.989998,65.989998,65.989998,65.989998,0
2012-06-26,66.010002,66.010002,66.010002,66.010002,66.010002,0
2012-06-27,66.849998,66.849998,66.849998,66.849998,66.849998,0
2012-06-28,66.860001,66.860001,66.860001,66.860001,66.860001,0
2012-06-29,68.120003,68.120003,68.120003,68.120003,68.120003,0
2012-07-02,68.980003,68.980003,68.980003,68.980003,68.980003,0
2012-07-03,69.540001,69.540001,69.540001,69.540001,69.540001,0
2012-07-04,69.550003,69.550003,69.550003,69.550003,69.550003,0
2012-07-05,69.400002,69.400002,69.400002,69.400002,69.400002,0
2012-07-06,68.900002,68.900002,68.900002,68.900002,68.900002,0
2012-07-09,68.809998,68.809998,68.809998,68.809998,68.809998,0
2012-07-10,69.070000,69.070000,69.070000,69.070000,69.070000,0
2012-07-11,69.550003,69.550003,69.550003,69.550003,69.550003,0
2012-07-12,68.779999,68.779999,68.779999,68.779999,68.779999,0
2012-07-13,69.570000,69.570000,69.570000,69.570000,69.570000,0
2012-07-16,69.790001,69.790001,69.790001,69.790001,69.790001,0
2012-07-17,69.589996,69.589996,69.589996,69.589996,69.589996,0
2012-07-18,70.430000,70.430000,70.430000,70.430000,70.430000,0
2012-07-19,70.769997,70.769997,70.769997,70.769997,70.769997,0
2012-07-20,69.769997,69.769997,69.769997,69.769997,69.769997,0
2012-07-23,68.470001,68.470001,68.470001,68.470001,68.470001,0
2012-07-24,67.709999,67.709999,67.709999,67.709999,67.709999,0
2012-07-25,67.709999,67.709999,67.709999,67.709999,67.709999,0
2012-07-26,68.919998,68.919998,68.919998,68.919998,68.919998,0
2012-07-27,69.820000,69.820000,69.820000,69.820000,69.820000,0
2012-07-30,70.930000,70.930000,70.930000,70.930000,70.930000,0
2012-07-31,70.669998,70.669998,70.669998,70.669998,70.669998,0
2012-08-01,71.139999,71.139999,71.139999,71.139999,71.139999,0
2012-08-02,70.389999,70.389999,70.389999,70.389999,70.389999,0
2012-08-03,71.989998,71.989998,71.989998,71.989998,71.989998,0
2012-08-06,72.279999,72.279999,72.279999,72.279999,72.279999,0
2012-08-07,73.199997,73.199997,73.199997,73.199997,73.199997,0
2012-08-08,73.400002,73.400002,73.400002,73.400002,73.400002,0
2012-08-09,73.470001,73.470001,73.470001,73.470001,73.470001,0
2012-08-10,73.389999,73.389999,73.389999,73.389999,73.389999,0
2012-08-13,73.199997,73.199997,73.199997,73.199997,73.199997,0
2012-08-14,73.720001,73.720001,73.720001,73.720001,73.720001,0
2012-08-15,73.769997,73.769997,73.769997,73.769997,73.769997,0
2012-08-16,73.940002,73.940002,73.940002,73.940002,73.940002,0
2012-08-17,74.220001,74.220001,74.220001,74.220001,74.220001,0
2012-08-20,74.019997,74.019997,74.019997,74.019997,74.019997,0
2012-08-21,73.940002,73.940002,73.940002,73.940002,73.940002,0
2012-08-22,73.010002,73.010002,73.010002,73.010002,73.010002,0
2012-08-23,72.540001,72.540001,72.540001,72.540001,72.540001,0
2012-08-24,72.910004,72.910004,72.910004,72.910004,72.910004,0
2012-08-27,73.190002,73.190002,73.190002,73.190002,73.190002,0
2012-08-28,72.730003,72.730003,72.730003,72.730003,72.730003,0
