Date,Open,High,Low,Close,Adj Close,Volume
2019-04-24,10.000000,10.000000,10.000000,10.000000,10.000000,0
2019-04-25,9.971200,9.971200,9.971200,9.971200,9.971200,0
2019-04-26,10.001800,10.001800,10.001800,10.001800,10.001800,0
2019-04-29,9.998000,9.998000,9.998000,9.998000,9.998000,0
2019-04-30,10.035000,10.035000,10.035000,10.035000,10.035000,0
2019-05-02,9.963700,9.963700,9.963700,9.963700,9.963700,0
2019-05-03,10.032800,10.032800,10.032800,10.032800,10.032800,0
2019-05-06,9.946700,9.946700,9.946700,9.946700,9.946700,0
2019-05-07,9.765100,9.765100,9.765100,9.765100,9.765100,0
2019-05-08,9.741000,9.741000,9.741000,9.741000,9.741000,0
2019-05-09,null,null,null,null,null,null
2019-05-10,9.651600,9.651600,9.651600,9.651600,9.651600,0
2019-05-13,9.488200,9.488200,9.488200,9.488200,9.488200,0
2019-05-14,9.593000,9.593000,9.593000,9.593000,9.593000,0
2019-05-15,9.656700,9.656700,9.656700,9.656700,9.656700,0
2019-05-16,9.740500,9.740500,9.740500,9.740500,9.740500,0
2019-05-17,9.709600,9.709600,9.709600,9.709600,9.709600,0
2019-05-20,9.600200,9.600200,9.600200,9.600200,9.600200,0
2019-05-21,9.646300,9.646300,9.646300,9.646300,9.646300,0
2019-05-22,9.648000,9.648000,9.648000,9.648000,9.648000,0
2019-05-23,9.543500,9.543500,9.543500,9.543500,9.543500,0
2019-05-24,9.519900,9.519900,9.519900,9.519900,9.519900,0
2019-05-27,9.536100,9.536100,9.536100,9.536100,9.536100,0
2019-05-28,9.494200,9.494200,9.494200,9.494200,9.494200,0
2019-05-29,9.433000,9.433000,9.433000,9.433000,9.433000,0
2019-05-30,9.454400,9.472000,9.454400,9.472000,9.472000,0
2019-05-31,9.368800,9.368800,9.368800,9.368800,9.368800,0
2019-06-03,9.382100,9.382100,9.382100,9.382100,9.382100,0
2019-06-04,9.496400,9.496400,9.496400,9.496400,9.496400,0
2019-06-05,9.570700,9.570700,9.570700,9.570700,9.570700,0
2019-06-06,9.565200,9.565200,9.565200,9.565200,9.565200,0
2019-06-07,9.628600,9.628600,9.628600,9.628600,9.628600,0
2019-06-11,9.726000,9.726000,9.726000,9.726000,9.726000,0
2019-06-12,9.706700,9.706700,9.706700,9.706700,9.706700,0
2019-06-13,9.764600,9.764600,9.764600,9.764600,9.764600,0
2019-06-14,9.766400,9.766400,9.766400,9.766400,9.766400,0
2019-06-17,9.762800,9.762800,9.762800,9.762800,9.762800,0
2019-06-18,9.890200,9.890200,9.890200,9.890200,9.890200,0
2019-06-19,9.917800,9.917800,9.917800,9.917800,9.917800,0
2019-06-20,9.986100,9.986100,9.986100,9.986100,9.986100,0
2019-06-21,9.941100,9.941100,9.941100,9.941100,9.941100,0
2019-06-24,9.913600,9.913600,9.913600,9.913600,9.913600,0
2019-06-25,9.866200,9.866200,9.866200,9.866200,9.866200,0
2019-06-26,9.841700,9.841700,9.841700,9.841700,9.841700,0
2019-06-27,9.895300,9.895300,9.895300,9.895300,9.895300,0
2019-06-28,9.920700,9.920700,9.920700,9.920700,9.920700,0
2019-07-01,10.063600,10.063600,10.063600,10.063600,10.063600,0
2019-07-02,10.106400,10.106400,10.106400,10.106400,10.106400,0
2019-07-03,10.172400,10.172400,10.172400,10.172400,10.172400,0
2019-07-04,10.175900,10.175900,10.175900,10.175900,10.175900,0
2019-07-05,10.155100,10.155100,10.155100,10.155100,10.155100,0
2019-07-08,10.144200,10.144200,10.144200,10.144200,10.144200,0
2019-07-09,10.105600,10.105600,10.105600,10.105600,10.105600,0
2019-07-10,10.076800,10.076800,10.076800,10.076800,10.076800,0
2019-07-11,10.119500,10.119500,10.119500,10.119500,10.119500,0
2019-07-12,10.175200,10.175200,10.175200,10.175200,10.175200,0
2019-07-15,10.172600,10.172600,10.172600,10.172600,10.172600,0
2019-07-16,10.200600,10.200600,10.200600,10.200600,10.200600,0
