Date,Open,High,Low,Close,Adj Close,Volume
2009-06-19,627.200012,627.200012,624.000000,624.000000,616.861450,0
2009-06-22,661.280029,672.000000,661.280029,664.799988,657.194519,100
2009-06-23,657.760010,659.039978,644.000000,649.280029,641.852234,300
2009-06-24,628.320007,646.400024,621.760010,646.400024,639.005188,100
2009-06-25,658.239990,658.239990,628.159973,628.799988,621.606506,200
2009-06-26,629.919983,631.840027,629.919983,631.840027,624.611816,0
2009-06-29,617.599976,617.599976,606.880005,614.559998,607.529358,0
2009-06-30,629.760010,629.760010,620.960022,621.440002,614.330688,100
2009-07-01,597.760010,602.559998,589.760010,602.559998,595.666687,300
2009-07-02,636.960022,638.719971,630.400024,632.000000,624.769897,100
2009-07-06,656.159973,662.559998,643.200012,643.200012,635.841736,400
2009-07-07,651.840027,674.239990,651.840027,674.239990,666.526611,200
2009-07-08,672.159973,696.640015,665.280029,681.599976,673.802490,7000
2009-07-09,661.119995,665.599976,654.400024,656.320007,648.811707,900
2009-07-10,672.320007,689.280029,672.000000,677.599976,669.848145,2200
2009-07-13,670.559998,673.440002,640.960022,646.080017,638.688782,600
2009-07-14,640.960022,650.239990,634.880005,639.840027,632.520264,500
2009-07-15,607.039978,607.039978,584.000000,586.559998,579.849670,1100
2009-07-16,581.440002,586.400024,568.960022,569.760010,563.241882,400
2009-07-17,581.599976,581.599976,569.440002,572.640015,566.088989,100
2009-07-20,557.119995,560.159973,550.400024,550.400024,544.103394,600
2009-07-21,547.200012,553.919983,545.280029,546.239990,539.990967,200
2009-07-22,557.280029,557.919983,537.760010,544.320007,538.092957,400
2009-07-23,544.000000,544.479980,513.760010,522.880005,516.898315,1100
2009-07-24,521.599976,529.280029,513.760010,516.640015,510.729614,200
2009-07-27,512.320007,522.559998,512.000000,512.000000,506.142700,0
2009-07-28,522.559998,532.320007,519.200012,520.159973,514.209351,1000
2009-07-29,525.760010,529.440002,507.200012,507.200012,501.397614,100
2009-07-30,509.279999,512.000000,500.640015,507.839996,502.030273,500
2009-07-31,504.799988,504.799988,493.760010,493.760010,488.111359,100
2009-08-03,473.440002,474.399994,441.440002,464.000000,458.691772,4400
2009-08-04,476.320007,477.920013,469.279999,471.040009,465.651276,200
2009-08-05,476.799988,476.799988,464.000000,464.000000,458.691772,800
2009-08-06,474.559998,476.320007,473.920013,476.320007,470.870850,0
2009-08-07,470.079987,472.160004,468.320007,468.640015,463.278748,200
2009-08-10,480.480011,480.480011,478.079987,479.519989,474.034241,0
2009-08-11,491.359985,491.359985,491.359985,491.359985,485.738800,0
2009-08-12,476.480011,480.000000,476.480011,480.000000,474.508789,0
2009-08-13,470.399994,470.399994,470.399994,470.399994,465.018585,0
2009-08-14,463.200012,463.200012,463.200012,463.200012,457.900940,0
2009-08-17,502.399994,504.799988,502.399994,504.320007,498.550507,0
2009-08-18,491.839996,491.839996,481.760010,483.200012,477.672180,100
2009-08-19,473.920013,476.799988,471.679993,475.839996,470.396332,0
2009-08-20,474.559998,474.559998,465.600006,465.600006,460.273529,0
2009-08-21,441.440002,441.920013,435.359985,439.040009,434.017334,200
2009-08-24,434.239990,442.720001,432.959991,441.760010,436.706268,100
2009-08-25,431.359985,432.640015,430.079987,432.160004,427.216034,0
2009-08-26,439.839996,439.839996,436.799988,437.920013,432.910187,300
2009-08-27,439.359985,439.359985,427.839996,428.000000,423.103668,300
2009-08-28,430.399994,430.399994,427.839996,427.839996,422.945465,0
2009-08-31,441.600006,441.600006,435.519989,435.519989,430.537628,0
2009-09-01,447.040009,463.040009,437.440002,459.200012,453.946716,1200
2009-09-02,467.359985,467.359985,458.399994,458.399994,453.155914,0
2009-09-03,450.239990,460.320007,450.239990,460.320007,455.053925,300
2009-09-04,451.839996,451.839996,436.799988,437.760010,432.752014,300
2009-09-08,416.959991,418.399994,414.720001,414.720001,409.975586,0
2009-09-09,408.799988,408.799988,403.519989,403.519989,398.903717,0
2009-09-10,398.880005,398.880005,398.880005,398.880005,394.316803,0
2009-09-11,394.399994,398.079987,394.399994,397.920013,393.367767,0
2009-09-14,397.920013,397.920013,397.920013,397.920013,393.367767,0
2009-09-15,394.399994,394.399994,391.679993,392.640015,388.148163,500
2009-09-16,382.559998,382.559998,376.480011,376.480011,372.173035,0
2009-09-17,376.000000,379.200012,374.399994,379.200012,374.861969,0
2009-09-18,375.359985,375.359985,375.359985,375.359985,371.065826,0
2009-09-21,375.359985,375.359985,375.359985,375.359985,371.065826,0
