Date,Open,High,Low,Close,Adj Close,Volume
2016-03-10,44.209999,44.209999,44.209999,44.209999,44.209999,0
2016-03-11,45.150002,45.360001,45.150002,45.360001,45.360001,38
2016-03-14,45.080002,45.389999,45.080002,45.389999,45.389999,350
2016-03-15,45.029999,45.029999,44.990002,44.990002,44.990002,4
2016-03-16,45.040001,45.830002,45.040001,45.590000,45.590000,1038
2016-03-17,44.779999,46.119999,44.779999,46.119999,46.119999,300
2016-03-18,45.840000,46.180000,45.840000,46.180000,46.180000,137
2016-03-21,45.970001,46.200001,45.950001,45.950001,45.950001,382
2016-03-22,45.639999,45.990002,45.639999,45.990002,45.990002,50
2016-03-23,45.930000,45.980000,45.930000,45.980000,45.980000,200
2016-03-24,45.349998,45.709999,45.180000,45.709999,45.709999,950
2016-03-29,45.380001,45.700001,45.380001,45.549999,45.549999,2788
2016-03-30,46.240002,46.240002,45.849998,46.189999,46.189999,4154
2016-03-31,45.779999,45.830002,45.779999,45.830002,45.830002,338
2016-04-01,null,null,null,null,null,null
2016-04-04,44.840000,45.279999,44.840000,45.279999,45.279999,100
2016-04-05,45.090000,45.090000,44.730000,44.810001,44.810001,3758
2016-04-06,44.779999,45.060001,44.779999,45.060001,45.060001,6
2016-04-07,45.090000,45.090000,45.090000,45.090000,45.090000,0
2016-04-08,45.619999,45.700001,45.619999,45.660000,45.660000,1760
2016-04-11,45.369999,45.959999,45.369999,45.959999,45.959999,636
2016-04-12,45.990002,46.419998,45.990002,46.419998,46.419998,1930
2016-04-13,46.740002,47.310001,46.740002,47.180000,47.180000,5176
2016-04-14,47.320000,47.320000,47.240002,47.240002,47.240002,200
2016-04-15,46.750000,46.750000,46.750000,46.750000,46.750000,0
2016-04-18,null,null,null,null,null,null
2016-04-19,46.830002,47.439999,46.830002,47.439999,47.439999,48
2016-04-20,47.820000,47.820000,47.820000,47.820000,47.820000,0
2016-04-21,47.470001,47.470001,47.470001,47.470001,47.470001,0
2016-04-22,47.360001,47.549999,47.360001,47.549999,47.549999,110
2016-04-25,47.590000,47.590000,47.380001,47.380001,47.380001,2803
2016-04-26,47.320000,47.619999,47.320000,47.619999,47.619999,596
2016-04-27,47.290001,47.849998,47.290001,47.849998,47.849998,112
2016-04-28,47.500000,47.970001,47.500000,47.970001,47.970001,45
2016-04-29,47.200001,47.200001,47.200001,47.200001,47.200001,1013
2016-05-02,47.790001,47.790001,46.900002,46.900002,46.900002,225
2016-05-03,46.599998,46.599998,46.349998,46.349998,46.349998,577
2016-05-04,46.380001,46.380001,46.380001,46.380001,46.380001,0
2016-05-05,46.900002,47.130001,46.900002,47.130001,47.130001,200
2016-05-06,46.990002,46.990002,46.990002,46.990002,46.990002,0
2016-05-09,47.130001,47.130001,46.770000,46.770000,46.770000,61
2016-05-10,47.150002,47.389999,47.150002,47.389999,47.389999,422
2016-05-11,47.000000,47.029999,46.290001,47.029999,47.029999,229
2016-05-12,47.250000,47.250000,47.040001,47.040001,47.040001,20
2016-05-13,47.389999,47.389999,47.389999,47.389999,47.389999,0
2016-05-17,47.900002,47.900002,47.380001,47.599998,47.599998,930
2016-05-18,47.500000,47.770000,47.500000,47.630001,47.630001,2250
2016-05-19,47.000000,47.000000,46.930000,46.959999,46.959999,349
2016-05-20,47.459999,47.759998,47.459999,47.660000,47.660000,1213
2016-05-23,47.610001,47.610001,47.610001,47.610001,47.610001,0
2016-05-24,47.730000,48.310001,47.730000,48.040001,48.040001,1024
2016-05-25,48.490002,48.490002,48.290001,48.290001,48.290001,45
2016-05-26,48.060001,48.080002,48.060001,48.080002,48.080002,130
